
"Iced Tea Sweetened",120.06,8,1127.83,66,,0,1156.04,69,91.85,5,381.96,22,699.85,39,166.08,13,1247.89,74
"Iced Coffee",60.69,6,257.92,22,,0,300.47,27,18.14,1,105.85,6,193.73,20,19.03,2,318.61,28
"Berry-Lime Liquado",,0,87.35,4,,0,87.35,4,,0,57.95,2,12.30,1,17.10,1,87.35,4
"Asian Salad',fd',.';l',,.,m fd",,0,83.34,3,,0,52.04,2,31.30,1,,0,83.34,3,,0,83.34,3
"Grilled Chicken Cool Wrap",,0,114.34,3,,0,114.34,3,,0,76.50,1,37.84,2,,0,114.34,3
" Buttermilk Crispy Chicken Sandwich",27.82,2,24.24,1,,0,52.06,3,,0,,0,52.06,3,,0,52.06,3
"Spicy Chicken Deluxe Sandwich",,0,12.30,1,,0,12.30,1,,0,,0,12.30,1,,0,12.30,1
"GRILLED CHICKEN CLUB SANDWICH",,0,5.61,1,,0,5.61,1,,0,,0,5.61,1,,0,5.61,1
"Grilled Chicken Cool Wrap® and Chicken Salad Sandwich Tray",,0,75.29,5,,0,75.29,5,,0,25.00,1,50.29,4,,0,75.29,5
"Garden Salad Tray",,0,50.29,1,,0,50.29,1,,0,,0,50.29,1,,0,50.29,1
,,0,14.00,1,,0,14.00,1,,0,,0,14.00,1,,0,14.00,1
"Kale Ceasar",,0,6.00,1,,0,6.00,1,,0,,0,,0,6.00,1,6.00,1
"BLT efwer",,0,226.37,4,,0,226.37,4,,0,21.40,2,,0,204.97,2,226.37,4
,,0,23.45,2,,0,23.45,2,,0,,0,23.45,2,,0,23.45,2
,,0,18.00,1,,0,18.00,1,,0,,0,18.00,1,,0,18.00,1
,,0,18.00,1,,0,18.00,1,,0,,0,18.00,1,,0,18.00,1
"Lobster and Crab Bisque",,0,13.00,1,,0,13.00,1,,0,,0,13.00,1,,0,13.00,1
"BLT mnefrew",,0,328.51,6,,0,328.51,6,,0,261.57,4,66.94,2,,0,328.51,6
,,0,738.30,1,,0,738.30,1,,0,,0,738.30,1,,0,738.30,1
,,0,13.91,1,,0,13.91,1,,0,,0,13.91,1,,0,13.91,1
